"Data","Último","Abertura","Máxima","Mínima","Var%"
"01.02.2026","127,04","128,38","129,02","127,21","-1,55%"
"25.01.2026","129,04","130,53","131,53","128,87","-1,52%"
"18.01.2026","131,03","137,75","138,24","130,70","-3,89%"
"11.01.2026","136,34","136,99","139,83","136,02","-0,72%"
"04.01.2026","137,32","137,33","139,49","136,50","-0,35%"
"28.12.2025","137,81","138,82","138,82","137,66","-0,01%"
"21.12.2025","137,82","138,13","138,48","137,81","-2,23%"
"14.12.2025","140,96","135,33","142,29","134,50","2,78%"
"07.12.2025","137,15","142,78","142,81","136,00","1,34%"
"30.11.2025","135,33","141,80","144,13","134,83","-3,89%"
"23.11.2025","140,81","145,92","145,92","140,81","-3,42%"
"16.11.2025","145,79","141,28","146,41","141,28","2,46%"
"09.11.2025","142,29","143,05","143,05","139,96","-2,60%"
"02.11.2025","146,09","138,64","146,09","138,64","5,50%"
"26.10.2025","138,47","137,61","138,80","135,15","-4,03%"
"19.10.2025","144,29","145,09","146,74","140,29","-2,10%"
"12.10.2025","147,38","159,63","159,67","144,76","-2,05%"
"05.10.2025","150,46","134,16","159,29","133,74","11,87%"
"28.09.2025","134,50","137,14","137,14","134,50","-2,40%"
"21.09.2025","137,80","134,05","137,80","134,05","9,18%"
"14.09.2025","126,22","130,85","130,85","125,89","-4,75%"
"07.09.2025","132,52","136,47","137,83","129,19","-3,02%"
"31.08.2025","136,64","136,65","139,48","136,48","-0,13%"
"24.08.2025","136,82","138,83","139,88","135,47","-1,09%"
"17.08.2025","138,33","136,47","141,84","136,47","1,38%"
"10.08.2025","136,45","141,42","141,42","133,94","-3,51%"
"03.08.2025","141,41","152,89","152,89","141,41","-6,95%"
"27.07.2025","151,97","147,28","151,97","147,26","3,18%"
"20.07.2025","147,28","145,75","147,32","144,83","1,05%"
"13.07.2025","145,75","147,78","150,15","145,75","-1,37%"
"06.07.2025","147,78","139,37","147,78","139,37","6,03%"
"29.06.2025","139,37","151,19","151,19","139,37","-7,82%"
"22.06.2025","151,19","156,55","156,55","149,64","-3,42%"
"15.06.2025","156,55","152,18","158,04","151,20","2,87%"
"08.06.2025","152,18","157,19","157,19","149,62","-3,22%"
"01.06.2025","157,24","160,44","160,44","155,10","-1,99%"
"25.05.2025","160,44","168,78","168,86","160,44","-4,94%"
"18.05.2025","168,78","164,93","168,78","161,49","2,33%"
"11.05.2025","164,93","177,11","177,11","161,97","-6,86%"
"04.05.2025","177,07","179,81","179,98","177,07","-1,50%"
"27.04.2025","179,77","181,48","183,37","179,77","-1,49%"
"20.04.2025","182,49","194,16","198,19","182,36","-6,01%"
"13.04.2025","194,16","198,35","198,93","191,18","-2,11%"
"06.04.2025","198,35","199,82","210,58","185,90","-0,69%"
"30.03.2025","199,72","185,17","199,72","182,86","7,86%"
"23.03.2025","185,17","190,23","190,23","179,45","-2,66%"
"16.03.2025","190,23","173,96","190,23","167,39","9,35%"
"09.03.2025","173,96","173,92","178,33","173,92","0,10%"
"02.03.2025","173,79","178,14","184,16","173,78","-1,08%"
"23.02.2025","175,69","168,29","176,29","168,29","4,40%"
"16.02.2025","168,29","165,83","168,29","163,56","1,49%"
"09.02.2025","165,82","170,93","171,86","165,82","-3,27%"
"02.02.2025","171,43","174,78","177,28","171,26","-2,44%"
"26.01.2025","175,72","173,72","179,53","173,72","1,17%"
