date,crise financeira,crise econômica,pânico financeiro,colapso econômico,crash bolsa,queda ibovespa,volatilidade bolsa,bear market brasil,fuga capitais,bolsa despenca,risco default brasil,rebaixamento rating brasil,dívida pública brasil,recessão brasil,desemprego brasil,desvalorização real,dólar dispara,crise bancária,corrida bancária,alta juros brasil,investir agora,vender ações,mercado vai cair,proteção carteira,como proteger investimentos
2008-01-01,1,0,0,0,0,0,0,66,0,0,0,0,0,0,9,0,0,0,0,0,0,44,0,0,0
2008-02-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
2008-03-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,50,0,0,0
2008-04-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,32,71,0,0,0,0,0,39,0,0,0
2008-05-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,44,0,0,0
2008-06-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,31,0,0,0
2008-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,30,0,0,0
2008-08-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,0,0
2008-09-01,14,5,0,0,0,56,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,35,0,0,0
2008-10-01,100,29,0,0,1,0,0,0,0,0,0,0,0,3,24,0,0,59,0,0,0,32,0,0,0
2008-11-01,84,29,0,0,0,0,0,0,0,0,0,0,0,2,34,69,0,0,0,0,0,0,0,0,0
2008-12-01,39,11,0,0,0,0,0,0,0,0,0,0,0,0,14,66,0,0,0,0,0,27,0,0,0
2009-01-01,23,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2009-02-01,36,12,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2009-03-01,45,17,0,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0,0,0,24,0,0,0
2009-04-01,36,13,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2009-05-01,29,12,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0
2009-06-01,20,9,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0
2009-07-01,8,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,31,0,0,0
2009-08-01,9,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,20,28,0,0
2009-09-01,15,6,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,20,0,0,0
2009-10-01,9,3,0,0,0,0,0,0,0,0,0,0,0,0,23,38,0,0,0,0,0,0,0,0,0
2009-11-01,10,4,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,21,0,0,0
2009-12-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2010-01-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0
2010-02-01,3,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2010-03-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,31,0,0,0
2010-04-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
2010-05-01,7,4,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,31,0,0,0,0
