date,crise financeira,crise econômica,crise brasil,colapso econômico,recessão,recessão brasil,depressão econômica,crash financeiro,pânico financeiro,instabilidade econômica,turbulência econômica,caos econômico,desastre econômico,catástrofe financeira,crise sistêmica,queda bolsa,queda ibovespa,crash bolsa,derretimento bolsa,sangria bolsa,desabamento ibovespa,volatilidade bolsa,pânico bolsa,sell off brasil,bear market,mercado baixista,correção mercado,circuit breaker,circuit breaker b3,pregão suspenso,ibovespa despenca,bolsa desaba,bolsa cai,crise bancária,corrida bancária,banco quebra,inadimplência,calote,crédito escasso,credit crunch brasil,falta crédito,aperto crédito,spread bancário alto,juros altos,crédito caro,risco default brasil,default brasil,calote governo,dívida pública brasil,rombo fiscal,déficit fiscal,rebaixamento rating,rating brasil rebaixado,moody's brasil,fitch brasil,s&p brasil rebaixamento,risco soberano,embi brasil,risco país brasil,dólar dispara,dólar sobe,dólar alto,desvalorização real,real fraco,real desvaloriza,fuga capitais,fuga dólares,especulação cambial,crise cambial,ataque especulativo,câmbio brasil crise,impeachment brasil,crise política brasil,instabilidade política,escândalo corrupção,lava jato,petrobras escândalo,incerteza política,reforma previdência,reforma tributária,greve geral,protestos brasil,inflação brasil alta,inflação alta,hiperinflação brasil,desemprego brasil alto,desemprego alto,pib brasil cai,recessão técnica brasil,crescimento negativo,queda pib,selic alta,copom aumenta juros,juros brasil alto,vender ações agora,hora de vender,mercado vai cair,proteção investimentos,como proteger carteira,sair da bolsa,medo mercado,pessimismo bolsa,investidores pessimistas,fuga investidores
2008-01-01,2,0,5,0,11,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,2,0,7,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,2,2,18,0,5,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,3,3,15,0,4,42,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,1,2,18,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,2,2,19,0,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
2008-07-01,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
2008-08-01,2,1,13,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,14,5,26,0,4,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,15,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,100,29,77,0,19,63,0,0,0,0,0,0,0,0,0,100,6,9,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,8,0,10,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
