title,url,date,source,keyword
Cotação do dólar sobe 12% com liberação do câmbio no Uruguai,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49716.shtml,2002-06-20,folha,recessão brasil
Dólar sobe 33% em relação ao peso no Uruguai,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49711.shtml,2002-06-20,folha,recessão brasil
"Uruguai libera câmbio; dólar dispara 12,4%",http://www1.folha.uol.com.br/fsp/dinheiro/fi2106200222.htm,2002-06-21,folha,recessão brasil
"Dólar fecha estável no Uruguai, a 21 pesos para a venda",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49813.shtml,2002-06-21,folha,recessão brasil
"Bovespa fecha ""semana de cão"" com perda acumulada de 11%",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49798.shtml,2002-06-21,folha,recessão brasil
"México pode virar uma Argentina, diz ministro",http://www1.folha.uol.com.br/fsp/dinheiro/fi2106200223.htm,2002-06-21,folha,recessão brasil
"Bovespa despenca 4,1% com pessimismo recorde",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49764.shtml,2002-06-21,folha,recessão brasil
Uruguaios fazem panelaço contra flutuação do peso,http://www1.folha.uol.com.br/folha/reuters/ult112u17537.shtml,2002-06-21,folha,recessão brasil
Bovespa acelera pessimismo e desaba 5%,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49772.shtml,2002-06-21,folha,recessão brasil
"Brasil precisa de ajuda para enfrentar crise, diz Argentina",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49839.shtml,2002-06-22,folha,recessão brasil
Tendências Internacionais: Sistema global opera sem modelo único de ajuste fiscal,http://www1.folha.uol.com.br/fsp/dinheiro/fi2306200203.htm,2002-06-23,folha,recessão brasil
"Crise está na fuga de capitais, diz economista",http://www1.folha.uol.com.br/fsp/dinheiro/fi2306200211.htm,2002-06-23,folha,recessão brasil
Editoriais: HISTERIA DOLARIZADA,http://www1.folha.uol.com.br/fsp/opiniao/fz2306200201.htm,2002-06-23,folha,recessão brasil
"Crise está na fuga de capitais, diz economista",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49846.shtml,2002-06-23,folha,recessão brasil
Turbulência financeira no Brasil preocupa os Estados Unidos,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49938.shtml,2002-06-24,folha,recessão brasil
"Bovespa opera em alta de 1,97%, aos 10.602 pontos",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49870.shtml,2002-06-24,folha,recessão brasil
Argentina propõe união latina para negociar ajuda,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49861.shtml,2002-06-24,folha,recessão brasil
Mercado em Transe: Argentina propõe união latina para negociar ajuda,http://www1.folha.uol.com.br/fsp/dinheiro/fi2406200203.htm,2002-06-24,folha,recessão brasil
"Para Bird, reação dos mercados ao Brasil é exagerada",http://www1.folha.uol.com.br/folha/reuters/ult112u17742.shtml,2002-06-25,folha,recessão brasil
Opinião Econômica - Paulo Nogueira Batista Jr.: O problema da dívida pública,http://www1.folha.uol.com.br/fsp/dinheiro/fi2706200217.htm,2002-06-27,folha,recessão brasil
Fraudes do capital: WorldCom piora crise de desconfiança global,http://www1.folha.uol.com.br/fsp/dinheiro/fi2706200202.htm,2002-06-27,folha,recessão brasil
"Apesar de folga na inflação, juro só cai se dólar acalmar, diz mercado",http://www1.folha.uol.com.br/folha/dinheiro/ult91u50231.shtml,2002-06-27,folha,recessão brasil
"Turbulência deve seguir com desconfiança sobre empresas, diz Malan",http://www1.folha.uol.com.br/folha/dinheiro/ult91u50340.shtml,2002-06-28,folha,recessão brasil
