title,url,date,source,keyword
Crise financeira invade Cannes com filme de Oliver Stone,https://g1.globo.com/pop-arte/noticia/2010/05/crise-financeira-invade-cannes-com-filme-de-oliver-stone.html,2010-06-15,g1,crise financeira
Bush diz ter 'consciência tranquila' sobre crise financeira,https://g1.globo.com/economia-e-negocios/noticia/2010/11/bush-diz-ter-consciencia-tranquila-sobre-crise-financeira.html,2010-06-15,g1,crise financeira
"Membro do BCE vê Brasil, China e Índia puxando expansão global",https://g1.globo.com/politica/noticia/2010/06/membro-do-bce-ve-brasil-china-e-india-puxando-expansao-global-1.html,2010-06-15,g1,recessão brasil
"Membro do BCE vê Brasil, China e Índia puxando expansão global",https://g1.globo.com/mundo/noticia/2010/06/membro-do-bce-ve-brasil-china-e-india-puxando-expansao-global-2.html,2010-06-15,g1,recessão brasil
"Membro do BCE vê Brasil, China e Índia puxando expansão global",https://g1.globo.com/economia-e-negocios/noticia/2010/06/membro-do-bce-ve-brasil-china-e-india-puxando-expansao-global.html,2010-06-15,g1,recessão brasil
Strauss-Khan elogia Brasil e pede coordenação mundial para sair da crise,https://g1.globo.com/mundo/noticia/2010/05/strauss-khan-elogia-brasil-e-pede-coordenacao-mundial-para-sair-da-crise.html,2010-06-15,g1,recessão brasil
"Lucro do Santander Brasil cresce 31,4% no 3o tri",https://g1.globo.com/economia-e-negocios/noticia/2010/10/lucro-do-santander-brasil-cresce-314-no-3o-tri.html,2010-06-15,g1,recessão brasil
Fitch revê perspectiva do Brasil para positiva,https://g1.globo.com/economia-e-negocios/noticia/2010/06/fitch-reve-perspectiva-do-brasil-para-positiva.html,2010-06-15,g1,recessão brasil
"México e Brasil devem otimizar condições de investimento, dizem analistas",https://g1.globo.com/mundo/noticia/2010/11/mexico-e-brasil-devem-otimizar-condicoes-de-investimento-dizem-analistas.html,2010-06-15,g1,recessão brasil
AES descarta risco de apagão e diz que Brasil tem folga energética,https://g1.globo.com/economia-e-negocios/noticia/2010/07/aes-descarta-risco-de-apagao-e-diz-que-brasil-tem-folga-energetica.html,2010-06-15,g1,recessão brasil
Agência de classificação de risco revê perspectiva do Brasil para positiva,https://g1.globo.com/economia-e-negocios/noticia/2010/06/fitch-confirma-ratings-do-brasil-e-reve-perspectiva-para-positiva.html,2010-06-15,g1,recessão brasil
"Retomada da economia desacelera no Brasil, diz OCDE",https://g1.globo.com/economia-e-negocios/noticia/2010/09/retomada-da-economia-desacelera-no-brasil-diz-ocde.html,2010-06-15,g1,recessão brasil
Russos negociam com Brasil para investir no pré-sal,https://g1.globo.com/economia-e-negocios/noticia/2010/09/russos-negociam-com-brasil-para-investir-no-pre-sal.html,2010-06-15,g1,recessão brasil
"Cepal prevê  crescimento do Brasil  de 7,6% em 2010",https://g1.globo.com/economia-e-negocios/noticia/2010/07/cepal-ve-brasil-crescendo-76-em-2010.html,2010-06-15,g1,recessão brasil
"FMI: Brasil deve crescer 7,5% em 2010 e 4,5% em 2011",https://g1.globo.com/economia-e-negocios/noticia/2010/10/fmi-brasil-deve-crescer-75-em-2010-e-45-em-2011.html,2010-06-15,g1,recessão brasil
Ibovespa opera volátil,https://g1.globo.com/economia/mercados/noticia/2010/12/ibovespa-opera-volatil.html,2010-06-15,g1,ibovespa
Ibovespa abre em queda,https://g1.globo.com/mundo/noticia/2010/12/ibovespa-abre-em-queda-2.html,2010-06-15,g1,ibovespa
Ibovespa abre em baixa,https://g1.globo.com/mundo/noticia/2010/12/ibovespa-abre-em-baixa-1.html,2010-06-15,g1,ibovespa
Ibovespa fecha estável,https://g1.globo.com/mundo/noticia/2010/09/ibovespa-fecha-estavel.html,2010-06-15,g1,ibovespa
Ibovespa abre em alta,https://g1.globo.com/mundo/noticia/2010/11/ibovespa-abre-em-alta-1.html,2010-06-15,g1,ibovespa
Ibovespa abre em queda,https://g1.globo.com/mundo/noticia/2010/09/ibovespa-abre-em-queda-1.html,2010-06-15,g1,ibovespa
