title,url,date,source,keyword,financial_count,stress_count,negative_count,stress_negative_count,total_terms,has_cooccurrence,stress_score,financial_terms,stress_terms,negative_terms
Cotação do dólar sobe 12% com liberação do câmbio no Uruguai,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49716.shtml,2002-06-20,folha,recessão brasil,2,0,0,0,2,False,0.0,"dólar, câmbio",,
Dólar sobe 33% em relação ao peso no Uruguai,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49711.shtml,2002-06-20,folha,recessão brasil,1,0,0,0,1,False,0.0,dólar,,
"Uruguai libera câmbio; dólar dispara 12,4%",http://www1.folha.uol.com.br/fsp/dinheiro/fi2106200222.htm,2002-06-21,folha,recessão brasil,2,0,0,0,2,False,0.0,"dólar, câmbio",,
"Dólar fecha estável no Uruguai, a 21 pesos para a venda",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49813.shtml,2002-06-21,folha,recessão brasil,2,0,0,0,2,False,0.0,"dólar, venda",,
"Bovespa fecha ""semana de cão"" com perda acumulada de 11%",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49798.shtml,2002-06-21,folha,recessão brasil,1,0,1,1,2,True,1.0,bovespa,,perda
"México pode virar uma Argentina, diz ministro",http://www1.folha.uol.com.br/fsp/dinheiro/fi2106200223.htm,2002-06-21,folha,recessão brasil,0,0,0,0,0,False,0.0,,,
"Bovespa despenca 4,1% com pessimismo recorde",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49764.shtml,2002-06-21,folha,recessão brasil,1,0,2,2,3,True,1.4142135623730951,bovespa,,"despenca, pessimismo"
Uruguaios fazem panelaço contra flutuação do peso,http://www1.folha.uol.com.br/folha/reuters/ult112u17537.shtml,2002-06-21,folha,recessão brasil,0,0,0,0,0,False,0.0,,,
Bovespa acelera pessimismo e desaba 5%,http://www1.folha.uol.com.br/folha/dinheiro/ult91u49772.shtml,2002-06-21,folha,recessão brasil,1,0,2,2,3,True,1.4142135623730951,bovespa,,"desaba, pessimismo"
"Brasil precisa de ajuda para enfrentar crise, diz Argentina",http://www1.folha.uol.com.br/folha/dinheiro/ult91u49839.shtml,2002-06-22,folha,recessão brasil,0,1,0,1,1,False,0.0,,crise,
