query,coefficient,abs_coef,rank,type
queda bolsa,-0.04293853434284905,0.04293853434284905,1,stress
recessão,0.040280342657877735,0.040280342657877735,2,anti-stress
dólar alto,-0.0260889278107463,0.0260889278107463,3,stress
circuit breaker,0.016956779013978483,0.016956779013978483,4,anti-stress
default brasil,0.015464068763692019,0.015464068763692019,5,anti-stress
recessão brasil,-0.013798853284828314,0.013798853284828314,6,stress
sair da bolsa,0.013641140632403287,0.013641140632403287,7,anti-stress
fitch brasil,-0.013352257045104166,0.013352257045104166,8,stress
crise econômica,0.013239042552133852,0.013239042552133852,9,anti-stress
crash bolsa,-0.01309674249728394,0.01309674249728394,10,stress
impeachment brasil,-0.012584940145771528,0.012584940145771528,11,stress
crise política brasil,0.011660880467162196,0.011660880467162196,12,anti-stress
crescimento negativo,0.011271604573665809,0.011271604573665809,13,anti-stress
crise cambial,0.011197476947428472,0.011197476947428472,14,anti-stress
hora de vender,0.009928734603496444,0.009928734603496444,15,anti-stress
dólar sobe,0.009205133880806916,0.009205133880806916,16,anti-stress
desemprego alto,-0.009114267361294778,0.009114267361294778,17,stress
dívida pública brasil,0.008125447829016114,0.008125447829016114,18,anti-stress
selic alta,-0.007338160015043306,0.007338160015043306,19,stress
crise brasil,0.0072469789142496875,0.0072469789142496875,20,anti-stress
banco quebra,-0.007028472780018299,0.007028472780018299,21,stress
real fraco,-0.006372144423259276,0.006372144423259276,22,stress
queda ibovespa,0.005957955705736296,0.005957955705736296,23,anti-stress
risco país brasil,-0.005825570033941094,0.005825570033941094,24,stress
calote,-0.0054201929717619555,0.0054201929717619555,25,stress
crise financeira,-0.0053516012719936525,0.0053516012719936525,26,stress
juros altos,-0.005341927674954352,0.005341927674954352,27,stress
instabilidade econômica,-0.004795630067724118,0.004795630067724118,28,stress
proteção investimentos,0.004648956846971324,0.004648956846971324,29,anti-stress
desvalorização real,0.0044687976090854575,0.0044687976090854575,30,anti-stress
déficit fiscal,-0.004435552538943338,0.004435552538943338,31,stress
reforma tributária,-0.003282111922010254,0.003282111922010254,32,stress
inadimplência,-0.003067948353146482,0.003067948353146482,33,stress
depressão econômica,-0.0030635195708736255,0.0030635195708736255,34,stress
queda pib,-0.0024204794009754583,0.0024204794009754583,35,stress
bear market,-0.0016706697295094553,0.0016706697295094553,36,stress
lava jato,0.001563815906638242,0.001563815906638242,37,anti-stress
falta crédito,-0.0012109858708836622,0.0012109858708836622,38,stress
medo mercado,0.0011188547716210492,0.0011188547716210492,39,anti-stress
greve geral,-0.00098221799076216,0.00098221799076216,40,stress
reforma previdência,0.0009318463269409513,0.0009318463269409513,41,anti-stress
bolsa cai,0.00034046423828425443,0.00034046423828425443,42,anti-stress
